name_distinct,ingredients
Hacienda Victoria - 70.0%,Grano de cacao
Hacienda Victoria - 70.0%,Azúcar
Hacienda Victoria - 70.0%,Manteca de cacao
Costa Esmeraldas - 70.0%,Grano de cacao
Costa Esmeraldas - 70.0%,Azúcar
Costa Esmeraldas - 70.0%,Manteca de cacao
Matasawalevu - 70.0%,Grano de cacao
Matasawalevu - 70.0%,Azúcar
Lam Dong - 73.0%,Grano de cacao
Lam Dong - 73.0%,Azúcar
San Juan - 70.0%,Grano de cacao
San Juan - 70.0%,Azúcar
Tien Giang - 73.0%,Grano de cacao
Tien Giang - 73.0%,Azúcar
Tien Giang - 73.0%,Manteca de cacao
Lachua - 70.0%,Grano de cacao
Lachua - 70.0%,Azúcar
"La Masica, FHIA - 70.0%",Grano de cacao
"La Masica, FHIA - 70.0%",Azúcar
Kokoa Kamili - 70.0%,Grano de cacao
Kokoa Kamili - 70.0%,Azúcar
Rugoso - 70.0%,Grano de cacao
Rugoso - 70.0%,Azúcar
Rugoso - 70.0%,Manteca de cacao
Elvesia - 70.0%,Grano de cacao
Elvesia - 70.0%,Azúcar
"Coto Brus, Terciopelo - 70.0%",Grano de cacao
"Coto Brus, Terciopelo - 70.0%",Azúcar
Phantom - 70.0%,Grano de cacao
Phantom - 70.0%,Azúcar
Anamalai - 70.0%,Grano de cacao
Anamalai - 70.0%,Azúcar
Sambirano Valley - 70.0%,Grano de cacao
Sambirano Valley - 70.0%,Azúcar
Sambirano Valley - 70.0%,Manteca de cacao
Ben Tre - 73.0%,Grano de cacao
Ben Tre - 73.0%,Azúcar
Ben Tre - 73.0%,Manteca de cacao
Ucayali - 70.0%,Grano de cacao
Ucayali - 70.0%,Azúcar
Ucayali - 70.0%,Manteca de cacao
Beniano - 70.0%,Grano de cacao
Beniano - 70.0%,Azúcar
Pisa - 70.0%,Grano de cacao
Pisa - 70.0%,Azúcar
Ramnath E. - 70.0%,Grano de cacao
Ramnath E. - 70.0%,Azúcar
Tumaco - 70.0%,Grano de cacao
Tumaco - 70.0%,Azúcar
Idukki - 70.0%,Grano de cacao
Idukki - 70.0%,Azúcar
Idukki - 70.0%,Manteca de cacao
Jangareddygudem - 70.0%,Grano de cacao
Jangareddygudem - 70.0%,Azúcar
Jangareddygudem - 70.0%,Manteca de cacao
Apoyo - 70.0%,Grano de cacao
